AuthorID,Author,Date,Content,Attachments,Reactions
"817469690347257877","alexcartagenamex#4215","2021-11-20","open for the space!","",""
"693277954519728138","Lapsus#4632","2021-11-20","Yeah, please tomorrow if possible!","",""
"693277954519728138","Lapsus#4632","2021-11-20","(For the doc review)","",""
"819708932876140575","shanelavalette#2830","2021-11-20","Gm gm ☀️ 
@Founding Artists 

Confirmed for Twitter Spaces today at 1 EST or is it just Sunday w/ Deeze at 2 EST? Just have to plan the days accordingly, let us know! Happy weekend all!","",""
"802980996114415648","justinaversano.eth#9406","2021-11-20","Let’s do it","","catJAM (1)"
"802980996114415648","justinaversano.eth#9406","2021-11-20","Okay 1pm EST?","",""
"802980996114415648","justinaversano.eth#9406","2021-11-20","I’ll schedule it. I never did one before","",""
"802980996114415648","justinaversano.eth#9406","2021-11-20","@cooper can you guide me","",""
"751493587371556933","claudia#0273","2021-11-20","gm all! I'm speaking at the Mint MTL conference today so I won't be able to attend the space but I'll share it when it's live. Happy Saturday ☺️","",""
"704460941772849302","cooper#6009","2021-11-20","You should have the ability to do so via mobile","",""
"704460941772849302","cooper#6009","2021-11-20","@justinaversano.eth this should help!! https://help.twitter.com/en/using-twitter/spaces-hosting","",""
"704460941772849302","cooper#6009","2021-11-20","https://help.twitter.com/en/using-twitter/spaces-hosting#scheduling","",""
"802980996114415648","justinaversano.eth#9406","2021-11-20","@here https://twitter.com/i/spaces/1djGXPamOdyGZ","","pineappl (1)"
"802980996114415648","justinaversano.eth#9406","2021-11-20","Done","",""
"704460941772849302","cooper#6009","2021-11-20","excellent ty ser","",""
"802980996114415648","justinaversano.eth#9406","2021-11-20","I’ll make you co host so you can do the posts at the top ?","",""
"802980996114415648","justinaversano.eth#9406","2021-11-20","Idk how to do that yet","",""
"704460941772849302","cooper#6009","2021-11-20","sure. i can help bring people up/down too","",""
"704460941772849302","cooper#6009","2021-11-20","https://help.twitter.com/en/using-twitter/spaces-hosting#sharing","",""
"820715430683082835","omarzrobles#9845","2021-11-20","looking forward to today's space founders","",""
"827362797792788520","hddamico#7928","2021-11-20","great 🙌🏻","",""
"827362797792788520","hddamico#7928","2021-11-20","want to suggest a time? Sunday 10:30 EST should work for me, @lucaspon and @DT | Luiz","","❤️ (1)"
"704460941772849302","cooper#6009","2021-11-20","https://twitter.com/_cooperray_/status/1462090542058201091","","🙌🏻 (1)"
"704460941772849302","cooper#6009","2021-11-20","https://twitter.com/justinaversano/status/1462091938484527121","","🙌🏻 (3)"
"820715430683082835","omarzrobles#9845","2021-11-20","head's up...ppl are asking if the space will be recorded... do we want to do that ?
If so, @justinaversano.eth can you check if you have the recording capability enbabled","",""
"802980996114415648","justinaversano.eth#9406","2021-11-20","How do you do that","",""
"820715430683082835","omarzrobles#9845","2021-11-20","https://help.twitter.com/en/using-twitter/spaces-hosting#recording","",""
"693277954519728138","Lapsus#4632","2021-11-20","If we can do 11 est probably better; but I will adapt to your needs","",""
"820715430683082835","omarzrobles#9845","2021-11-20","","https://cdn.discordapp.com/attachments/908079682824601670/911669624905535528/image.png",""
"802980996114415648","justinaversano.eth#9406","2021-11-20","I didn’t see that button","",""
"820715430683082835","omarzrobles#9845","2021-11-20","If the spaces has already been scheduled you can hit edit space and toggle the slider on.

If you don’t see that button it means you don’t have the feature enabled on your acc yet.","",""
"827362797792788520","hddamico#7928","2021-11-20","works for me","","👍 (1),👌 (1)"
"746551601296179231","DT | Luiz#4149","2021-11-20","Who’s hosting?","",""
"746551601296179231","DT | Luiz#4149","2021-11-20","Btw - a bunch of us will be in Miami for Basel. Could we organize something for RAW? Could be something small, but just as a way to get together","","🍻 (2),💯 (2),🔥 (1),💥 (1)"
"832722913765097535","chadwicktyler#3331","2021-11-20","Godspeed RAW LG 3minutes till take off","",""
"820715430683082835","omarzrobles#9845","2021-11-20","let' go!","",""
"802980996114415648","justinaversano.eth#9406","2021-11-20","https://twitter.com/i/spaces/1djGXPamOdyGZ","",""
"704460941772849302","cooper#6009","2021-11-20","someone should login as the RAW account","",""
"832722913765097535","chadwicktyler#3331","2021-11-20","YES","",""
"704460941772849302","cooper#6009","2021-11-20","twitter spaces hating me this morning. rugged twice now @justinaversano.eth","",""
"704460941772849302","cooper#6009","2021-11-20","i think it's the co-host. ill try once more","",""
"820715430683082835","omarzrobles#9845","2021-11-20","about to brake in with applause sound effects lol","",""
"820715430683082835","omarzrobles#9845","2021-11-20","@justinaversano.eth can you acknowledge also @claudia as one of our founding members as she is not able to join in today ?","","💚 (2)"
"820715430683082835","omarzrobles#9845","2021-11-20","rugged","","5831sadpepe (1),carlsad (1)"
"802980996114415648","justinaversano.eth#9406","2021-11-20","My connection broke 😦","",""
"802980996114415648","justinaversano.eth#9406","2021-11-20","Did we get rugged","",""
"693277954519728138","Lapsus#4632","2021-11-20","It cut out; can start a new one","",""
"820715430683082835","omarzrobles#9845","2021-11-20","yes","",""
"823934448835756052","michelleviljoen.eth#8371","2021-11-20","Yeah rugged haha we can just start a new one","",""
"820715430683082835","omarzrobles#9845","2021-11-20","let's start a new one","",""
"693277954519728138","Lapsus#4632","2021-11-20","People will be looking to rejoin","",""
"802980996114415648","justinaversano.eth#9406","2021-11-20","Want me to start?","",""
"693277954519728138","Lapsus#4632","2021-11-20","Yes!","",""
"693277954519728138","Lapsus#4632","2021-11-20","I believe people will jump in again","",""
"820715430683082835","omarzrobles#9845","2021-11-20","ppl will be looking for you to restart","",""
"832722913765097535","chadwicktyler#3331","2021-11-20","keep the questions quick so everyone is heard","",""
"876858550771650580","gallegosfer#9129","2021-11-20","Yep","",""
"820715430683082835","omarzrobles#9845","2021-11-20","snating by for the new link","",""
"820715430683082835","omarzrobles#9845","2021-11-20","standing","",""
"802980996114415648","justinaversano.eth#9406","2021-11-20","https://twitter.com/i/spaces/1OyKADXqkrrxb","",""
"823934448835756052","michelleviljoen.eth#8371","2021-11-20","That link doesn’t work for me..","",""
"389803426877407232","lucaspon#3865","2021-11-20","me neither","",""
"820715430683082835","omarzrobles#9845","2021-11-20","me neither","",""
"802980996114415648","justinaversano.eth#9406","2021-11-20","My connection is all fucked up","",""
"802980996114415648","justinaversano.eth#9406","2021-11-20","I’m in the mountains now in Cali","",""
"820715430683082835","omarzrobles#9845","2021-11-20","i'm happy to start one if y'all are ok ?","",""
"823934448835756052","michelleviljoen.eth#8371","2021-11-20","Omar do you want kick off a new room and then Justin can join and co-host?","","👌 (1)"
"823934448835756052","michelleviljoen.eth#8371","2021-11-20","and just share it so others can join","",""
"693277954519728138","Lapsus#4632","2021-11-20","Yes!","",""
"820715430683082835","omarzrobles#9845","2021-11-20","on it","","👍 (1)"
"820715430683082835","omarzrobles#9845","2021-11-20","https://twitter.com/i/spaces/1vOxwymQDkNGB","",""
"820715430683082835","omarzrobles#9845","2021-11-20","jump in with answers friends","",""
"802980996114415648","justinaversano.eth#9406","2021-11-20","Phones about to die. Gonna get disconnected 😦","","dead (1)"
"820715430683082835","omarzrobles#9845","2021-11-20","we got you","",""
"820715430683082835","omarzrobles#9845","2021-11-20","thank you @shanelavalette","","heart (1)"
"827362797792788520","hddamico#7928","2021-11-20","great Spaces 🙌🏻","","💯 (3)"
"859522510176124971","carlovanderoer#0512","2021-11-20","Great discussion guys, I have my son on my head, so cant chime in much, but well done all!","","💯 (3)"
